  Epoch  ,  Iteration  ,  Time Elapsed  ,  Mini-batch  ,  Validation  ,  Mini-batch  ,  Validation  ,  Base Learning  
         ,             ,   (hh:mm:ss)   ,   Accuracy   ,   Accuracy   ,     Loss     ,     Loss     ,      Rate       
1,1,       00:00:14 ,26.56%,68.12%,1.8097,1.2415,0.0034
1,2,       00:00:26 ,64.06%,66.32%,1.6281,1.1588,0.0034
1,3,       00:00:37 ,64.06%,64.10%,1.1639,1.1236,0.0034
1,4,       00:00:48 ,62.50%,71.94%,0.9727,0.8634,0.0034
1,5,       00:01:01 ,65.62%,73.68%,1.2736,0.7815,0.0034
1,6,       00:01:15 ,71.88%,64.51%,0.9182,0.9578,0.0034
1,7,       00:01:28 ,60.94%,68.61%,1.1977,0.949,0.0034
1,8,       00:01:42 ,68.75%,73.40%,1.0332,0.7619,0.0034
1,9,       00:01:54 ,75.00%,78.06%,0.7838,0.6903,0.0034
1,10,       00:02:06 ,76.56%,79.24%,0.8172,0.6411,0.0034
1,11,       00:02:19 ,67.19%,77.50%,1.0797,0.6898,0.0034
1,12,       00:02:33 ,73.44%,79.93%,0.8729,0.6254,0.0034
1,13,       00:02:46 ,73.44%,79.65%,0.8518,0.6323,0.0034
1,14,       00:02:58 ,73.44%,78.19%,0.61,0.6526,0.0034
1,15,       00:03:11 ,76.56%,78.89%,0.6619,0.5945,0.0034
1,16,       00:03:25 ,85.94%,79.17%,0.5574,0.5968,0.0034
1,17,       00:03:36 ,70.31%,78.61%,0.8357,0.5837,0.0034
1,18,       00:03:47 ,75.00%,77.85%,0.6756,0.6228,0.0034
1,19,       00:04:00 ,75.00%,80.14%,0.6211,0.5785,0.0034
1,20,       00:04:13 ,73.44%,79.58%,0.7465,0.5698,0.0034
1,21,       00:04:25 ,84.38%,83.12%,0.4677,0.5081,0.0034
1,22,       00:04:36 ,79.69%,83.06%,0.6451,0.5317,0.0034
1,23,       00:04:48 ,79.69%,84.44%,0.7519,0.5331,0.0034
1,24,       00:05:02 ,87.50%,84.72%,0.3723,0.5465,0.0034
1,25,       00:05:15 ,90.62%,84.93%,0.3291,0.5371,0.0034
1,26,       00:05:28 ,82.81%,83.82%,0.6023,0.5982,0.0034
1,27,       00:05:41 ,76.56%,82.50%,0.9699,0.5726,0.0034
1,28,       00:05:54 ,89.06%,84.38%,0.4041,0.5258,0.0034
1,29,       00:06:08 ,76.56%,83.82%,0.8804,0.5311,0.0034
1,30,       00:06:19 ,81.25%,83.40%,0.5576,0.5444,0.0034
1,31,       00:06:31 ,79.69%,84.03%,0.5272,0.5467,0.0034
1,32,       00:06:42 ,93.75%,83.33%,0.2495,0.5104,0.0034
1,33,       00:06:54 ,84.38%,82.92%,0.6434,0.4869,0.0034
1,34,       00:07:06 ,81.25%,85.28%,0.6676,0.4509,0.0034
1,35,       00:07:17 ,78.12%,85.07%,0.5229,0.4657,0.0034
1,36,       00:07:30 ,81.25%,83.61%,0.4906,0.4894,0.0034
1,37,       00:07:43 ,82.81%,84.72%,0.4294,0.5213,0.0034
1,38,       00:07:55 ,79.69%,84.93%,0.7,0.5037,0.0034
1,39,       00:08:08 ,85.94%,82.71%,0.3952,0.567,0.0034
1,40,       00:08:21 ,82.81%,84.58%,0.5142,0.5175,0.0034
1,41,       00:08:34 ,84.38%,83.61%,0.448,0.5533,0.0034
1,42,       00:08:47 ,89.06%,85.00%,0.4194,0.5353,0.0034
1,43,       00:09:00 ,87.50%,84.93%,0.5821,0.529,0.0034
1,44,       00:09:14 ,92.19%,84.31%,0.2371,0.4957,0.0034
1,45,       00:09:28 ,68.75%,85.14%,0.8165,0.4747,0.0034
1,46,       00:09:41 ,79.69%,83.89%,0.6772,0.5652,0.0034
1,47,       00:09:55 ,84.38%,82.22%,0.5568,0.5903,0.0034
1,48,       00:10:08 ,78.12%,83.54%,0.8002,0.5912,0.0034
1,49,       00:10:21 ,71.88%,82.92%,1.0591,0.508,0.0034
1,50,       00:10:35 ,75.00%,82.36%,0.7404,0.5247,0.0034
1,51,       00:10:48 ,81.25%,82.15%,0.5381,0.5493,0.0034
1,52,       00:11:02 ,79.69%,81.81%,0.731,0.5372,0.0034
2,53,       00:11:17 ,76.56%,83.12%,0.804,0.5296,0.0034
2,54,       00:11:31 ,82.81%,82.15%,0.5829,0.5315,0.0034
2,55,       00:11:43 ,76.56%,83.89%,0.8039,0.5202,0.0034
2,56,       00:11:55 ,76.56%,84.10%,0.8934,0.4999,0.0034
2,57,       00:12:06 ,76.56%,84.03%,0.5773,0.5004,0.0034
2,58,       00:12:18 ,87.50%,84.44%,0.4979,0.4709,0.0034
2,59,       00:12:31 ,85.94%,83.89%,0.5316,0.4887,0.0034
2,60,       00:12:45 ,84.38%,82.99%,0.4575,0.5,0.0034
2,61,       00:12:59 ,79.69%,84.44%,0.8444,0.4867,0.0034
2,62,       00:13:12 ,82.81%,82.50%,0.5326,0.4889,0.0034
2,63,       00:13:26 ,85.94%,82.64%,0.5858,0.5025,0.0034
2,64,       00:13:40 ,87.50%,84.44%,0.4947,0.4573,0.0034
2,65,       00:13:53 ,76.56%,83.26%,0.6061,0.4962,0.0034
2,66,       00:14:06 ,82.81%,85.69%,0.4024,0.4697,0.0034
2,67,       00:14:20 ,85.94%,85.62%,0.4585,0.467,0.0034
2,68,       00:14:34 ,90.62%,85.35%,0.6752,0.5052,0.0034
2,69,       00:14:47 ,84.38%,85.21%,0.4133,0.5026,0.0034
2,70,       00:15:01 ,93.75%,85.21%,0.2465,0.5273,0.0034
2,71,       00:15:14 ,87.50%,85.62%,0.4999,0.5228,0.0034
2,72,       00:15:28 ,82.81%,85.49%,0.5709,0.5188,0.0034
2,73,       00:15:39 ,87.50%,85.49%,0.3786,0.5174,0.0034
2,74,       00:15:51 ,81.25%,85.69%,0.5388,0.4793,0.0034
2,75,       00:16:02 ,84.38%,84.79%,0.6419,0.4699,0.0034
2,76,       00:16:15 ,85.94%,85.21%,0.4681,0.4404,0.0034
2,77,       00:16:28 ,82.81%,84.51%,0.5122,0.4133,0.0034
2,78,       00:16:42 ,78.12%,83.54%,0.5523,0.4389,0.0034
2,79,       00:16:53 ,71.88%,82.43%,0.8721,0.4461,0.0034
2,80,       00:17:04 ,84.38%,82.01%,0.4794,0.4589,0.0034
2,81,       00:17:17 ,84.38%,81.39%,0.554,0.4647,0.0034
2,82,       00:17:28 ,85.94%,83.75%,0.531,0.4647,0.0034
2,83,       00:17:40 ,79.69%,84.51%,0.5018,0.4343,0.0034
2,84,       00:17:50 ,92.19%,85.56%,0.2829,0.4352,0.0034
2,85,       00:18:01 ,84.38%,86.39%,0.3149,0.4321,0.0034
2,86,       00:18:13 ,85.94%,86.53%,0.3901,0.4523,0.0034
2,87,       00:18:24 ,84.38%,86.11%,0.5027,0.4617,0.0034
2,88,       00:18:36 ,87.50%,86.67%,0.4022,0.4879,0.0034
2,89,       00:18:47 ,89.06%,86.18%,0.5331,0.4823,0.0034
2,90,       00:18:58 ,90.62%,85.00%,0.3152,0.4744,0.0034
2,91,       00:19:10 ,79.69%,86.11%,0.9334,0.4695,0.0034
2,92,       00:19:21 ,82.81%,85.28%,0.5172,0.4364,0.0034
2,93,       00:19:31 ,89.06%,86.53%,0.514,0.4278,0.0034
2,94,       00:19:43 ,89.06%,87.57%,0.4811,0.3932,0.0034
2,95,       00:19:54 ,89.06%,86.46%,0.2963,0.3904,0.0034
2,96,       00:20:05 ,79.69%,85.35%,0.5137,0.4185,0.0034
2,97,       00:20:16 ,87.50%,85.14%,0.4594,0.4123,0.0034
2,98,       00:20:27 ,71.88%,85.49%,0.5957,0.4082,0.0034
2,99,       00:20:38 ,79.69%,84.72%,0.4754,0.4225,0.0034
2,100,       00:20:51 ,85.94%,86.18%,0.33,0.3878,0.0034
2,101,       00:21:03 ,78.12%,86.81%,0.4308,0.4002,0.0034
2,102,       00:21:15 ,87.50%,86.74%,0.466,0.4158,0.0034
2,103,       00:21:27 ,93.75%,86.18%,0.3388,0.4431,0.0034
2,104,       00:21:40 ,87.50%,86.94%,0.5602,0.4338,0.0034
3,105,       00:21:52 ,87.50%,86.46%,0.4103,0.4618,0.0034
3,106,       00:22:06 ,81.25%,86.04%,0.794,0.4548,0.0034
3,107,       00:22:19 ,85.94%,87.08%,0.4775,0.4269,0.0034
3,108,       00:22:31 ,78.12%,87.01%,0.8228,0.3987,0.0034
3,109,       00:22:42 ,89.06%,87.22%,0.3532,0.3908,0.0034
3,110,       00:22:54 ,82.81%,86.18%,0.5514,0.3709,0.0034
3,111,       00:23:07 ,79.69%,86.94%,0.4456,0.379,0.0034
3,112,       00:23:20 ,90.62%,84.86%,0.2997,0.4216,0.0034
3,113,       00:23:33 ,90.62%,86.74%,0.3219,0.3873,0.0034
3,114,       00:23:46 ,90.62%,84.51%,0.3344,0.4053,0.0034
3,115,       00:23:59 ,89.06%,85.07%,0.3692,0.4002,0.0034
3,116,       00:24:11 ,79.69%,86.18%,0.6401,0.3873,0.0034
3,117,       00:24:24 ,78.12%,87.29%,0.531,0.3579,0.0034
3,118,       00:24:38 ,90.62%,87.36%,0.2482,0.4048,0.0034
3,119,       00:24:50 ,81.25%,86.32%,0.5342,0.4394,0.0034
3,120,       00:25:02 ,82.81%,84.58%,0.4249,0.4706,0.0034
3,121,       00:25:14 ,93.75%,85.97%,0.2361,0.478,0.0034
3,122,       00:25:26 ,87.50%,86.39%,0.4339,0.4607,0.0034
3,123,       00:25:40 ,89.06%,86.39%,0.3773,0.4434,0.0034
3,124,       00:25:54 ,82.81%,86.67%,0.7506,0.4287,0.0034
3,125,       00:26:06 ,87.50%,87.08%,0.4719,0.4133,0.0034
3,126,       00:26:18 ,89.06%,86.18%,0.3463,0.4157,0.0034
3,127,       00:26:30 ,84.38%,86.94%,0.4774,0.3977,0.0034
3,128,       00:26:43 ,78.12%,84.38%,0.5884,0.422,0.0034
3,129,       00:26:55 ,82.81%,84.86%,0.7583,0.4167,0.0034
3,130,       00:27:08 ,84.38%,83.61%,0.4588,0.4714,0.0034
3,131,       00:27:20 ,81.25%,85.69%,0.549,0.3988,0.0034
3,132,       00:27:33 ,89.06%,86.46%,0.3588,0.397,0.0034
3,133,       00:27:45 ,85.94%,86.39%,0.5111,0.4043,0.0034
3,134,       00:27:57 ,89.06%,85.14%,0.4353,0.4397,0.0034
3,135,       00:28:09 ,85.94%,84.31%,0.5049,0.4525,0.0034
3,136,       00:28:22 ,81.25%,85.42%,0.5191,0.4335,0.0034
3,137,       00:28:33 ,87.50%,85.42%,0.3085,0.4198,0.0034
3,138,       00:28:47 ,90.62%,86.32%,0.364,0.4018,0.0034
3,139,       00:28:58 ,78.12%,87.50%,0.645,0.372,0.0034
3,140,       00:29:10 ,89.06%,86.60%,0.3028,0.3925,0.0034
3,141,       00:29:23 ,81.25%,87.78%,0.6306,0.3743,0.0034
3,142,       00:29:34 ,93.75%,85.56%,0.2202,0.4304,0.0034
3,143,       00:29:45 ,90.62%,86.04%,0.3751,0.3976,0.0034
3,144,       00:29:56 ,90.62%,85.62%,0.2212,0.4262,0.0034
3,145,       00:30:08 ,81.25%,85.90%,0.5276,0.3991,0.0034
3,146,       00:30:21 ,85.94%,86.32%,0.3494,0.4056,0.0034
3,147,       00:30:35 ,82.81%,86.46%,0.4704,0.4034,0.0034
3,148,       00:30:49 ,87.50%,84.51%,0.3983,0.4232,0.0034
3,149,       00:31:02 ,76.56%,82.85%,0.6063,0.4767,0.0034
3,150,       00:31:16 ,84.38%,82.57%,0.3529,0.4929,0.0034
3,151,       00:31:29 ,84.38%,83.19%,0.429,0.49,0.0034
3,152,       00:31:43 ,85.94%,85.83%,0.4197,0.4372,0.0034
3,153,       00:31:56 ,89.06%,86.81%,0.342,0.4204,0.0034
3,154,       00:32:10 ,89.06%,86.32%,0.3931,0.4235,0.0034
3,155,       00:32:24 ,95.31%,85.62%,0.1664,0.4208,0.0034
3,156,       00:32:39 ,93.75%,86.81%,0.2994,0.414,0.0034
4,157,       00:32:53 ,82.81%,84.58%,0.556,0.4487,0.0034
4,158,       00:33:06 ,84.38%,85.83%,0.6175,0.4069,0.0034
4,159,       00:33:19 ,79.69%,86.39%,0.5902,0.3983,0.0034
4,160,       00:33:33 ,79.69%,87.36%,0.4923,0.4135,0.0034
4,161,       00:33:47 ,79.69%,85.69%,0.629,0.4502,0.0034
4,162,       00:34:00 ,84.38%,84.31%,0.4366,0.4653,0.0034
4,163,       00:34:13 ,81.25%,85.21%,0.5264,0.4693,0.0034
4,164,       00:34:27 ,84.38%,86.67%,0.4915,0.4223,0.0034
4,165,       00:34:41 ,89.06%,86.53%,0.4288,0.3949,0.0034
4,166,       00:34:55 ,79.69%,87.85%,0.599,0.3665,0.0034
4,167,       00:35:08 ,87.50%,86.25%,0.3084,0.4012,0.0034
4,168,       00:35:22 ,92.19%,85.21%,0.2551,0.4421,0.0034
4,169,       00:35:36 ,90.62%,85.21%,0.3686,0.4776,0.0034
4,170,       00:35:50 ,78.12%,85.07%,0.538,0.4467,0.0034
4,171,       00:36:03 ,89.06%,84.93%,0.2679,0.4736,0.0034
4,172,       00:36:17 ,85.94%,86.67%,0.3474,0.4149,0.0034
4,173,       00:36:30 ,82.81%,87.57%,0.5435,0.4139,0.0034
4,174,       00:36:44 ,89.06%,86.25%,0.2701,0.422,0.0034
4,175,       00:36:58 ,89.06%,87.01%,0.3362,0.4365,0.0034
4,176,       00:37:12 ,82.81%,87.15%,0.5522,0.3943,0.0034
4,177,       00:37:26 ,78.12%,86.94%,0.7865,0.4011,0.0034
4,178,       00:37:39 ,85.94%,86.53%,0.4686,0.4054,0.0034
4,179,       00:37:53 ,87.50%,86.39%,0.4364,0.3798,0.0034
4,180,       00:38:06 ,85.94%,86.46%,0.355,0.3816,0.0034
4,181,       00:38:19 ,84.38%,85.83%,0.4511,0.3771,0.0034
4,182,       00:38:30 ,87.50%,85.56%,0.3797,0.3978,0.0034
4,183,       00:38:41 ,78.12%,85.62%,0.48,0.3938,0.0034
4,184,       00:38:54 ,84.38%,85.83%,0.4784,0.3817,0.0034
4,185,       00:39:05 ,79.69%,85.83%,0.4013,0.3862,0.0034
4,186,       00:39:16 ,89.06%,86.11%,0.3969,0.4044,0.0034
4,187,       00:39:27 ,81.25%,87.22%,0.4993,0.3624,0.0034
4,188,       00:39:37 ,90.62%,88.40%,0.2816,0.3517,0.0034
4,189,       00:39:48 ,85.94%,87.36%,0.4045,0.3971,0.0034
4,190,       00:39:59 ,82.81%,87.22%,0.5413,0.3902,0.0034
4,191,       00:40:12 ,81.25%,87.50%,0.5055,0.3761,0.0034
4,192,       00:40:25 ,84.38%,87.36%,0.4409,0.3699,0.0034
4,193,       00:40:37 ,89.06%,85.97%,0.4494,0.3926,0.0034
4,194,       00:40:49 ,89.06%,87.85%,0.3114,0.3646,0.0034
4,195,       00:41:01 ,81.25%,86.11%,0.4928,0.3917,0.0034
4,196,       00:41:13 ,82.81%,86.18%,0.5247,0.3744,0.0034
4,197,       00:41:25 ,81.25%,87.22%,0.4939,0.3775,0.0034
4,198,       00:41:37 ,90.62%,86.88%,0.3522,0.3649,0.0034
